record_id,origin,status,gold_abstract_len,refetched_abstract_len,gold_first120,refetched_first120
API_OpenAlex_10_31635_ccschem_019_20190010,warehouse_existing,normalized_match,26017,25974,Open AccessCCS ChemistryMINI REVIEW1 Aug 2019Oxygen Nanoshuttles for Tumor Oxygenation and Enhanced Cancer Treatment Lia,Open AccessCCS ChemistryMINI REVIEW1 Aug 2019Oxygen Nanoshuttles for Tumor Oxygenation and Enhanced Cancer Treatment Lia
API_OpenAlex_10_1021_acsami_5b07778,warehouse_existing,normalized_match,1212,1209,Nanobubbles with a size less than 1 Î¼m could make a promising application in ultrasound molecular imaging and drug deli,Nanobubbles with a size less than 1 μm could make a promising application in ultrasound molecular imaging and drug deliv
API_PubMed_10_1080_10837450_2021_1912090,warehouse_existing,normalized_match,920,919,A combination of doxorubicin (DOX) and small interfering RNA (siRNA) is proven effective for the reverse of multidrug re,A combination of doxorubicin (DOX) and small interfering RNA (siRNA) is proven effective for the reverse of multidrug re
API_OpenAlex_10_3390_molecules25173814,warehouse_existing,verbatim_match,2181,2181,"In recent years, researchers focused their attention on mesoporous silica nanoparticles (MSNs) owing to the considerable","In recent years, researchers focused their attention on mesoporous silica nanoparticles (MSNs) owing to the considerable"
API_OpenAlex_10_1093_jmicro_dfp056,warehouse_existing,verbatim_match,1457,1457,"Sonoporation is achieved by ultrasound-mediated destruction of ultrasound contrast agents (UCA) microbubbles. For this, ","Sonoporation is achieved by ultrasound-mediated destruction of ultrasound contrast agents (UCA) microbubbles. For this, "
API_OpenAlex_10_62400_jbs_v5i3_7061,warehouse_existing,verbatim_match,1687,1687,"Non-small-cell lung carcinoma (NSCLC), major lung cancer is currently considered one of the leading causes of mortality ","Non-small-cell lung carcinoma (NSCLC), major lung cancer is currently considered one of the leading causes of mortality "
API_OpenAlex_10_1016_j_resenv_2025_100256,warehouse_existing,normalized_match,2481,2469,"Methane (CH 4 ) emissions from aquatic ecosystems, including wetlands, freshwater bodies, and rice paddies, contribute s","Methane (CH 4 ) emissions from aquatic ecosystems, including wetlands, freshwater bodies, and rice paddies, contribute s"
API_OpenAlex_10_1155_2017_8234712,refetched,normalized_match,1028,1026,The formulation of a potential delivery system based on liposomes (Lips) formulated from soy lecithin (SL) for paclitaxe,The formulation of a potential delivery system based on liposomes (Lips) formulated from soy lecithin (SL) for paclitaxe
API_OpenAlex_10_4103_mgmj_mgmj_59_23,warehouse_existing,normalized_match,1710,1708,"Abstract Nanobubbles (NBs) are a practical, safe, innovative science widely used in many fields as advanced aeration tec","Abstract Nanobubbles (NBs) are a practical, safe, innovative science widely used in many fields as advanced aeration tec"
API_OpenAlex_10_3390_ijms17091440,warehouse_existing,verbatim_match,1607,1607,"Nanocarriers, due to their unique features, are of increased interest among researchers working with pharmaceutical form","Nanocarriers, due to their unique features, are of increased interest among researchers working with pharmaceutical form"
API_OpenAlex_10_1117_12_2214812,warehouse_existing,verbatim_match,1375,1375,Recent literatures have reported that the targeted nanoscale ultrasound contrast agents are becoming more and more impor,Recent literatures have reported that the targeted nanoscale ultrasound contrast agents are becoming more and more impor
API_OpenAlex_10_22159_ijap_2022v14i4_44388,warehouse_existing,normalized_match,1636,1633,Objective: Ceritinib is an anaplastic lymphoma kinase (ALK) inhibitor used to treat lung cancer. In the current research,Objective: Ceritinib is an anaplastic lymphoma kinase (ALK) inhibitor used to treat lung cancer. In the current research
API_PubMed_10_1021_acsptsci_5c00363,warehouse_existing,normalized_match,1640,1634,"Ischemic and/or hypoxic ocular diseases lack adequate, effective mitigative approaches and an understanding of the funda","Ischemic and/or hypoxic ocular diseases lack adequate, effective mitigative approaches and an understanding of the funda"
API_PubMed_10_1021_acs_molpharmaceut_5c01256,refetched,source_side_revision_or_mismatch,1619,1908,Doxorubicin (DOX) faces significant challenges in oral chemotherapy due to low intestinal permeability and extensive fir,Doxorubicin (DOX) faces significant challenges in oral chemotherapy due to low intestinal permeability and extensive fir
API_OpenAlex_10_1088_0957_4484_23_9_095102,refetched,normalized_match,1855,1854,Fibrin nanoconstructs (FNCs) were prepared through a modified water-in-oil emulsification-diffusion route without the us,Fibrin nanoconstructs (FNCs) were prepared through a modified water-in-oil emulsification-diffusion route without the us
API_PubMed_10_1007_s13346_022_01185_8,warehouse_existing,normalized_match,1597,1596,"Immunotherapy is a valuable approach to cancer treatment as it is able to activate the immune system. However, the curat","Immunotherapy is a valuable approach to cancer treatment as it is able to activate the immune system. However, the curat"
API_OpenAlex_10_3390_pharmaceutics10040242,refetched,verbatim_match,1186,1186,Diatom microalgae are the most outstanding natural source of porous silica. The diatom cell is enclosed in a three-dimen,Diatom microalgae are the most outstanding natural source of porous silica. The diatom cell is enclosed in a three-dimen
API_OpenAlex_10_1186_s12951_023_01776_8,warehouse_existing,normalized_match,1554,1554,"Immunotherapy had demonstrated inspiring effects in tumor treatment, but only a minority of people could benefit owing t","Immunotherapy had demonstrated inspiring effects in tumor treatment, but only a minority of people could benefit owing t"
API_PubMed_10_3389_fmed_2023_1136304,warehouse_existing,source_side_revision_or_mismatch,1709,1054,Stem cell transplantation is one of the treatment methods for acute myocardial infarction (AMI). MicroRNA-1 contributes ,Background: Stem cell transplantation is one of the treatment methods for acute myocardial infarction (AMI). MicroRNA-1 
API_OpenAlex_10_7150_thno_43402,warehouse_existing,source_side_revision_or_mismatch,1939,47,Development of versatile nanoplatforms that simultaneously integrate therapeutic and diagnostic features for stimuli-res,-weighted MR imaging-guided tumor chemotherapy.
API_OpenAlex_10_1021_acs_molpharmaceut_3c00983,refetched,normalized_match,1451,1449,This study aims to encapsulate gemcitabine (GEM) using a phospholipid complex (PLC) in lipid nanoparticles (NPs) to achi,This study aims to encapsulate gemcitabine (GEM) using a phospholipid complex (PLC) in lipid nanoparticles (NPs) to achi
API_PubMed_10_1016_j_ijpharm_2026_126860,refetched,verbatim_match,1395,1395,"Atherosclerosis (AS), a chronic inflammatory disease characterized by lipid deposition in the arterial wall, serves as t","Atherosclerosis (AS), a chronic inflammatory disease characterized by lipid deposition in the arterial wall, serves as t"
API_EuropePMC_10_1016_j_ijpharm_2009_07_010,warehouse_existing,verbatim_match,902,902,Dextran nanobubbles were prepared with a dextran shell and a perfluoropentan core in which oxygen was stored. To increas,Dextran nanobubbles were prepared with a dextran shell and a perfluoropentan core in which oxygen was stored. To increas
API_OpenAlex_10_1155_2014_689391,refetched,normalized_match,1279,1273,In present work response surface methodology (RSM) using the miscellaneous design model was used to optimize formulation,In present work response surface methodology (RSM) using the miscellaneous design model was used to optimize formulation
API_OpenAlex_10_1039_d0tb00012d,refetched,normalized_match,2053,2051,"Encapsulating drugs in functional nanoparticles provides controlled and targeted release of drugs. In this study, a gene","Encapsulating drugs in functional nanoparticles provides controlled and targeted release of drugs. In this study, a gene"
API_OpenAlex_10_1038_s41598_020_65773_9,refetched,verbatim_match,1611,1611,"As one of the main components of Tripterygium wilfordii Hook F, celastrol (CSL) has significant antitumor activity, but ","As one of the main components of Tripterygium wilfordii Hook F, celastrol (CSL) has significant antitumor activity, but "
API_PubMed_10_1039_d1ra04983f,warehouse_existing,verbatim_match,919,919,The application of ultrafine bubbles as drug carriers in drug delivery is still in its developmental stage; it is import,The application of ultrafine bubbles as drug carriers in drug delivery is still in its developmental stage; it is import
API_PubMed_10_1016_j_envres_2024_118980,warehouse_existing,normalized_match,1749,1749,Gaseous nanobubbles (NBs) with dimensions ranging from 1 to 1000 nm in the liquid phase have garnered significant intere,Gaseous nanobubbles (NBs) with dimensions ranging from 1 to 1000 nm in the liquid phase have garnered significant intere
API_PubMed_10_2174_0115680096414252251125053406,refetched,source_side_revision_or_mismatch,1920,1966,Oxaliplatin is a third-generation platinum-based chemotherapeutic agent widely used for colorectal cancer treatment. How,INTRODUCTION: Oxaliplatin is a third-generation platinum-based chemotherapeutic agent widely used for colorectal cancer 
API_OpenAlex_10_1121_1_5101512,warehouse_existing,normalized_match,1550,1542,To overcome the most significant deficiencies of conventional and contrast-enhanced ultrasound imagingâlow contrast an,To overcome the most significant deficiencies of conventional and contrast-enhanced ultrasound imaging—low contrast and 
